"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"25","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis","4/26",0.0057479397579661,0.0655363420990965,0,0,6.29168692270297,32.458270436333,"PIGC;PIGK;PIGM;PIGV"
"26","Dilated cardiomyopathy","8/96",0.00581551158558536,0.0655363420990965,0,0,3.15766280398237,16.2532057258643,"RYR2;TGFB2;TPM3;TNNT2;LMNA;CACNA1S;PRKACB;AGT"
"27","JAK-STAT signaling pathway","11/162",0.00641873195673033,0.0673373321008086,0,0,2.53573050900136,12.8017234526668,"IL10;CSF3R;IL23R;AKT3;MPL;LEPR;PIK3CD;IL6R;MTOR;JAK1;IL12RB2"
"28","Aldosterone synthesis and secretion","8/98",0.00657409066347609,0.0673373321008086,0,0,3.08717334929184,15.5118699060927,"HSD3B2;NPPA;ATP2B4;ATP1A2;CACNA1S;ATP1A1;PRKACB;AGT"
"29","Neurotrophin signaling pathway","9/119",0.0066647871362575,0.0673373321008086,0,0,2.8437704381949,14.249898381918,"CDC42;NTRK1;NRAS;AKT3;PSEN2;PIK3CD;FASLG;NGF;TP73"
"30","Amoebiasis","8/102",0.00831329217696665,0.081193153595041,0,0,2.95519309370106,14.1550781525932,"IL10;TGFB2;LAMB3;PIK3CD;LAMC2;C8B;PRKACB;C8A"
"31","GnRH secretion","6/64",0.00928712945737433,0.0851735861395209,0,0,3.58589846400592,16.7788698995284,"KISS1;NRAS;AKT3;PIK3CD;CACNA1S;KCNN3"
"32","T cell receptor signaling pathway","8/104",0.00930223466370194,0.0851735861395209,0,0,2.89332734889288,13.5335404719767,"IL10;CDC42;NRAS;PTPRC;LCK;AKT3;PIK3CD;CD247"
"33","Inflammatory bowel disease","6/65",0.00999411800859384,0.0864897308675215,0,0,3.5249386010127,16.2350161286933,"IL10;TGFB2;IL23R;RORC;TLR5;IL12RB2"
"34","Osteoclast differentiation","9/127",0.0100363510221697,0.0864897308675215,0,0,2.64987501524204,12.193510315614,"TGFB2;FCGR2A;NCF2;LCK;CTSK;AKT3;PIK3CD;FCGR2B;JAK1"
"35","ECM-receptor interaction","7/88",0.0122614313769475,0.10083672348276,0,0,2.99743351475729,13.1925939477149,"LAMB3;SV2A;TNR;LAMC2;COL9A2;AGRN;HSPG2"
"36","Non-alcoholic fatty liver disease","10/155",0.0127860855430843,0.10083672348276,0,0,2.39701770736254,10.4495536392312,"CDC42;PKLR;AKT3;LEPR;PIK3CD;NDUFS2;SDHC;FASLG;IL6R;SDHB"
"37","PD-L1 expression and PD-1 checkpoint pathway in cancer","7/89",0.0129945663471887,0.10083672348276,0,0,2.96072646210333,12.8590981749087,"NRAS;LCK;AKT3;PIK3CD;CD247;MTOR;JAK1"
"38","Bile secretion","7/90",0.0137586680367802,0.10083672348276,0,0,2.92490391674224,12.5363904625036,"EPHX1;SLC2A1;ATP1A2;ATP1A1;PRKACB;NR0B2;SLC9A1"
"39","Hypertrophic cardiomyopathy","7/90",0.0137586680367802,0.10083672348276,0,0,2.92490391674224,12.5363904625036,"RYR2;TGFB2;TPM3;TNNT2;LMNA;CACNA1S;AGT"
"40","Proteoglycans in cancer","12/205",0.0139429556151253,0.10083672348276,0,0,2.16346072763729,9.24399361455165,"CDC42;NRAS;TGFB2;WNT2B;AKT3;PIK3CD;FASLG;PRKACB;HSPG2;MTOR;SLC9A1;WNT4"
"41","Central carbon metabolism in cancer","6/70",0.0141102582347889,0.10083672348276,0,0,3.24871422182469,13.8422944260893,"NTRK1;NRAS;AKT3;SLC2A1;PIK3CD;MTOR"
"42","Systemic lupus erythematosus","9/135",0.0145559296869533,0.101544938054222,0,0,2.48060123329908,10.4923400084671,"IL10;C1QB;RO60;C1QA;FCGR2A;C8B;C8A;H3-3A;C1QC"
"43","Apelin signaling pathway","9/137",0.0158889471407333,0.10826654679616,0,0,2.44158891636691,10.1133825067004,"ADCY10;RYR2;NRAS;AKT3;GNB1;GNAI3;PRKACB;MTOR;SLC9A1"
"44","Apoptosis","9/142",0.0196107699293341,0.121256969226982,0,0,2.34919132363282,9.23626003327856,"SPTA1;NTRK1;NRAS;CTSK;AKT3;LMNA;PIK3CD;FASLG;NGF"
"45","Growth hormone synthesis, secretion and action","8/119",0.0197148075948652,0.121256969226982,0,0,2.50039626700309,9.81751907449263,"ADCY10;NRAS;AKT3;GNAI3;PIK3CD;CACNA1S;PRKACB;MTOR"
"46","Thyroid cancer","4/37",0.019914679342252,0.121256969226982,0,0,4.19208124020958,16.4174400635171,"NTRK1;NRAS;TPM3;TPR"
"47","Circadian entrainment","7/97",0.0200292937092432,0.121256969226982,0,0,2.69643568299482,10.5445718839039,"ADCY10;RYR2;PER3;GNB1;NOS1AP;GNAI3;PRKACB"
"48","Pancreatic cancer","6/76",0.0204514539051823,0.121256969226982,0,0,2.96933299258881,11.5498184115386,"CDC42;TGFB2;AKT3;PIK3CD;MTOR;JAK1"
"49","Pertussis","6/76",0.0204514539051823,0.121256969226982,0,0,2.96933299258881,11.5498184115386,"IL10;C1QB;C1QA;GNAI3;NLRP3;C1QC"
"50","Hedgehog signaling pathway","5/56",0.0206923155677444,0.121256969226982,0,0,3.39355742296919,13.1601915114015,"HHAT;GPR161;PTCH2;PRKACB;DISP1"
"51","Leishmaniasis","6/77",0.021669083660839,0.124491010051487,0,0,2.92736022575525,11.2172601702327,"IL10;TGFB2;CR1;FCGR2A;NCF2;JAK1"
